column,start,length
Tipo de elección.,1,2
Año del proceso electoral.,3,4
Mes del proceso electoral.,7,2
Número de vuelta (en procesos a una sola vuelta = 1).,9,1
"Código de la Comunidad Autónoma. En el caso de Total Nacional, llevará 99.",10,2
Código I.N.E. de la provincia o 99 si se trata de datos a nivel Total Comunidad o Total Nacional.,12,2
"Código del Distrito Electoral que corresponda o 9 en datos a nivel Total Provincial, Comunidad o Nacional.",14,1
Código de la candidatura o del Senador.,15,6
Votos obtenidos por la candidatura.,21,8
Número de candidatos obtenidos por la candidatura.,29,5
