column,start,length
Tipo de elección.,1,2
Año del proceso electoral.,3,4
Mes del proceso electoral.,7,2
Número de vuelta (en procesos a una sola vuelta = 1).,9,1
Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.,10,2
Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.,12,2
Código I.N.E. del municipio (999 = C.E.R.A.).,14,3
"Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.",17,2
"Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).",19,4
Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).,23,1
Código de la candidatura o del Senador en elecciones al Senado.,24,6
Votos obtenidos por la candidatura o el Senador.,30,7
